Area,County FIPS,Dollars
"St. Johns, Florida","12109","88794"
"Nassau, Florida","12089","77504"
"Santa Rosa, Florida","12113","77260"
"Collier, Florida","12021","75543"
"Clay, Florida","12019","74059"
"Monroe, Florida","12087","73153"
"Seminole, Florida","12117","73002"
"Wakulla, Florida","12129","72941"
"Martin, Florida","12085","69769"
"Sarasota, Florida","12115","69490"
"Palm Beach, Florida","12099","68874"
"Walton, Florida","12131","68111"
"Okaloosa, Florida","12091","67390"
"Orange, Florida","12095","65784"
"Manatee, Florida","12081","64964"
"Broward, Florida","12011","64522"
"Hillsborough, Florida","12057","64164"
"Baker, Florida","12003","63860"
"Brevard, Florida","12009","63632"
"Sumter, Florida","12119","63323"
"Lee, Florida","12071","63235"
"Flagler, Florida","12035","62305"
"Indian River, Florida","12061","61594"
"Bay, Florida","12005","60473"
"Pinellas, Florida","12103","60451"
"Lake, Florida","12069","60013"
"St. Lucie, Florida","12111","59807"
"Duval, Florida","12031","59541"
"Osceola, Florida","12097","58513"
"Pasco, Florida","12101","58084"
"Charlotte, Florida","12015","57887"
"Miami-Dade, Florida","12086","57815"
"Leon, Florida","12073","57359"
"Volusia, Florida","12127","56786"
"Escambia, Florida","12033","56605"
"Lafayette, Florida","12067","56458"
"Union, Florida","12125","55463"
"Polk, Florida","12105","55099"
"Gulf, Florida","12045","53812"
"Alachua, Florida","12001","53314"
"Hernando, Florida","12053","53301"
"Jefferson, Florida","12065","53080"
"Franklin, Florida","12037","52679"
"Gilchrist, Florida","12041","50983"
"Marion, Florida","12083","50808"
"Bradford, Florida","12007","48803"
"Citrus, Florida","12017","48664"
"Columbia, Florida","12023","47750"
"Suwannee, Florida","12121","47218"
"Okeechobee, Florida","12093","47020"
"Highlands, Florida","12055","46895"
"Dixie, Florida","12029","44287"
"Taylor, Florida","12123","43563"
"Jackson, Florida","12063","43416"
"Levy, Florida","12075","43029"
"Gadsden, Florida","12039","42661"
"Liberty, Florida","12077","42438"
"Holmes, Florida","12059","41809"
"Washington, Florida","12133","41806"
"Hardee, Florida","12049","41395"
"Putnam, Florida","12107","39975"
"DeSoto, Florida","12027","39945"
"Madison, Florida","12079","39503"
"Hamilton, Florida","12047","39346"
"Hendry, Florida","12051","38843"
"Calhoun, Florida","12013","38098"
"Glades, Florida","12043","38088"

"undefined"