Demographics, Alaska Boroughs, Poverty, Black (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Anchorage, Alaska","2020","5.4"
"Fairbanks North Star, Alaska","2090","4.6"
"Aleutians West, Alaska","2016","3.5"
"Yakutat, Alaska","2282","3.2"
"Skagway, Alaska","2230","2.9"
"Lake and Peninsula, Alaska","2164","2.2"
"Aleutians East, Alaska","2013","2.1"
"Hoonah-Angoon, Alaska","2105","1.9"
"Dillingham, Alaska","2070","1.3"
"Matanuska-Susitna, Alaska","2170","1.3"
"Denali, Alaska","2068","1.2"
"Valdez-Cordova, Alaska","2261","1.2"
"Kodiak Island, Alaska","2150","1.1"
"Southeast Fairbanks, Alaska","2240","1.1"
"Northwest Arctic, Alaska","2188","1.1"
"Juneau, Alaska","2110","1.0"
"Petersburg, Alaska","2195","1.0"
"Bethel, Alaska","2050","0.9"
"Nome, Alaska","2180","0.9"
"North Slope, Alaska","2185","0.8"
"Ketchikan Gateway, Alaska","2130","0.8"
"Kenai Peninsula, Alaska","2122","0.7"
"Bristol Bay, Alaska","2060","0.6"
"Sitka, Alaska","2220","0.6"
"Prince of Wales-Hyder, Alaska","2198","0.3"
"Yukon-Koyukuk, Alaska","2290","0.1"
"Wrangell, Alaska","2275","0.1"
"Kusilvak, Alaska","2158","no data/suppressed"
"Haines, Alaska","2100","no data/suppressed"
"Chugach, Alaska","2063","no data/suppressed"
"Copper River, Alaska","2066","no data/suppressed"

"undefined"