Demographics, Alaska Boroughs, Uninsured, Unemployed (Both Sexes - Ages 16+ - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Kusilvak, Alaska","2158","24.7"
"Nome, Alaska","2180","18.6"
"Bethel, Alaska","2050","18.1"
"Lake and Peninsula, Alaska","2164","15.8"
"Northwest Arctic, Alaska","2188","15.7"
"Hoonah-Angoon, Alaska","2105","15.0"
"Skagway, Alaska","2230","12.9"
"Yukon-Koyukuk, Alaska","2290","12.8"
"Dillingham, Alaska","2070","12.6"
"Southeast Fairbanks, Alaska","2240","10.3"
"Prince of Wales-Hyder, Alaska","2198","9.6"
"North Slope, Alaska","2185","9.2"
"Kenai Peninsula, Alaska","2122","8.2"
"Matanuska-Susitna, Alaska","2170","7.4"
"Fairbanks North Star, Alaska","2090","6.3"
"Kodiak Island, Alaska","2150","5.8"
"Wrangell, Alaska","2275","5.7"
"Anchorage, Alaska","2020","5.4"
"Sitka, Alaska","2220","5.4"
"Juneau, Alaska","2110","5.1"
"Ketchikan Gateway, Alaska","2130","4.7"
"Petersburg, Alaska","2195","4.7"
"Valdez-Cordova, Alaska","2261","4.6"
"Aleutians East, Alaska","2013","4.5"
"Aleutians West, Alaska","2016","3.8"
"Haines, Alaska","2100","3.7"
"Denali, Alaska","2068","2.6"
"Bristol Bay, Alaska","2060","2.4"
"Yakutat, Alaska","2282","1.6"
"Copper River, Alaska","2066","no data/suppressed"
"Chugach, Alaska","2063","no data/suppressed"

"undefined"