,Florida Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
0,"St. Johns, Florida",12109,88794,4.7,84.9,5.3,3.1,8,0.1,7.6,92.4
1,"Nassau, Florida",12089,77504,4.8,88.5,5.5,1,4,0.3,4.8,95.2
2,"Santa Rosa, Florida",12113,77260,4.9,83.7,5.9,2.1,5,0.4,6,94
3,"Collier, Florida",12021,75543,4.2,79.6,6.6,1.5,25.6,0.2,28.5,71.5
4,"Clay, Florida",12019,74059,4.8,75.2,11,2.9,6.4,0.1,10.5,89.5
5,"Monroe, Florida",12087,73153,3.7,79.9,7.2,1.4,19.1,0.1,25.1,74.9
6,"Seminole, Florida",12117,73002,4.5,69.4,11.9,4.8,14.7,0.2,22.5,77.5
7,"Wakulla, Florida",12129,72941,3.3,80.2,13.5,0.6,2.6,0.3,4,96
8,"Martin, Florida",12085,69769,4.6,85,5.6,1.6,10.2,0.4,14.1,85.9
9,"Sarasota, Florida",12115,69490,3.6,87.9,4.3,1.8,11.8,0.2,9.7,90.3
10,"Palm Beach, Florida",12099,68874,6.1,65.4,18.6,2.8,26.3,0.2,23.1,76.9
11,"Walton, Florida",12131,68111,4.6,85.8,4.2,0.9,6.8,0.4,6.5,93.5
12,"Okaloosa, Florida",12091,67390,3.9,75.7,9.6,3.7,7.8,0.2,9.8,90.2
13,"Orange, Florida",12095,65784,5.7,55.5,20.7,5.3,22.3,0.2,32.6,67.4
14,"Manatee, Florida",12081,64964,5.5,80.8,8.3,2.2,13.2,0.2,16.7,83.3
15,"Broward, Florida",12011,64522,6,52.5,28.5,3.7,34.8,0.2,30.9,69.1
16,"Hillsborough, Florida",12057,64164,5,63.4,16.5,4.3,18.3,0.3,29.6,70.4
17,"Baker, Florida",12003,63860,5.1,79.1,12.6,0.4,1.5,0.3,2.9,97.1
18,"Brevard, Florida",12009,63632,4.8,78.8,9.7,2.5,8.8,0.3,11,89
19,"Sumter, Florida",12119,63323,5.5,88,7.3,1,6.1,0.2,6,94
20,"Lee, Florida",12071,63235,4.6,78,8.1,1.7,17.1,0.1,22.6,77.4
21,"Flagler, Florida",12035,62305,3.7,79.1,9.8,2.5,12,0.2,10.9,89.1
22,"Indian River, Florida",12061,61594,6,81.8,8.2,1.5,10,0.2,12.9,87.1
23,"Bay, Florida",12005,60473,4.6,79.1,10.4,2.3,7.3,0.5,6.9,93.1
24,"Pinellas, Florida",12103,60451,5,78.5,10.3,3.6,12.2,0.2,10.2,89.8
25,"Lake, Florida",12069,60013,6.1,77.2,10.5,2.2,10.3,0.3,16.8,83.2
26,"St. Lucie, Florida",12111,59807,5.7,66.5,20.4,2.1,16.7,0.3,20,80
27,"Duval, Florida",12031,59541,5.1,56.1,29.4,4.8,11.7,0.2,10.6,89.4
28,"Osceola, Florida",12097,58513,6,57.7,10.9,2.8,22.8,0.3,55.5,44.5
29,"Pasco, Florida",12101,58084,5.4,81.3,5.9,2.8,10.7,0.3,16.7,83.3
30,"Charlotte, Florida",12015,57887,5.4,87,5.4,1.4,9.9,0.2,7.8,92.2
31,"Miami-Dade, Florida",12086,57815,5.1,56.5,16.3,1.6,54,0.2,68.5,31.5
32,"Leon, Florida",12073,57359,6.2,59.1,31,3.6,6.8,0.2,6.7,93.3
33,"Volusia, Florida",12127,56786,4.2,76.8,10.9,1.8,8,0.2,15.1,84.9
34,"Escambia, Florida",12033,56605,6.3,66.1,21.8,3.3,5.4,0.3,6,94
35,"Lafayette, Florida",12067,56458,5.9,77.2,16.6,1,8.9,0.3,14.5,85.5
36,"Union, Florida",12125,55463,3.4,71.9,18.3,0.2,2.1,0.7,5.9,94.1
37,"Polk, Florida",12105,55099,4.9,68.5,15,1.8,10.4,0.3,24.9,75.1
38,"Gulf, Florida",12045,53812,4.1,80.4,14.7,0.5,3.9,0.4,3.8,96.2
39,"Alachua, Florida",12001,53314,4.8,65.7,19.9,6,10.7,0.3,10.5,89.5
40,"Hernando, Florida",12053,53301,6.3,83.4,5.2,1.3,7.2,0.3,14.9,85.1
41,"Jefferson, Florida",12065,53080,6.2,63,33,0.4,3,0.2,4.4,95.6
42,"Franklin, Florida",12037,52679,9.5,79.3,12.8,0.3,3.8,0.1,5.9,94.1
43,"Gilchrist, Florida",12041,50983,3.9,89.1,4.9,0.3,4.9,0.2,6.3,93.7
44,"Marion, Florida",12083,50808,6.9,77.6,12.6,1.6,7.8,0.3,14.3,85.7
45,"Bradford, Florida",12007,48803,5,75.7,19.3,0.8,2.6,0.3,4.6,95.4
46,"Citrus, Florida",12017,48664,7.7,90.9,2.5,1.7,5.8,0.2,6.2,93.8
47,"Columbia, Florida",12023,47750,8.2,73.7,17.7,1,3.9,0.1,6.6,93.4
48,"Suwannee, Florida",12121,47218,5.3,79.2,11.7,0.4,4.9,no data/suppressed,10,90
49,"Okeechobee, Florida",12093,47020,5,79,8.6,1,12.4,0.4,26.4,73.6
50,"Highlands, Florida",12055,46895,7.4,77.8,9,1.6,11.2,0.5,21.1,78.9
51,"Dixie, Florida",12029,44287,4.9,85.6,7.6,0.3,2.1,0.1,4.3,95.7
52,"Taylor, Florida",12123,43563,6.2,72.9,22.5,0.5,4.3,0.1,4.3,95.7
53,"Jackson, Florida",12063,43416,5.1,67.4,26.9,0.4,2.4,0.4,5.1,94.9
54,"Levy, Florida",12075,43029,5.2,85.1,8.4,0.9,4.4,0.2,8.9,91.1
55,"Gadsden, Florida",12039,42661,4,37.2,55.3,0.3,5.1,1,10.7,89.3
56,"Liberty, Florida",12077,42438,7.7,78.1,14.9,0.1,2.8,1.7,6.7,93.3
57,"Holmes, Florida",12059,41809,4.8,87.4,7.1,1,2.1,1,3.1,96.9
58,"Washington, Florida",12133,41806,5.6,78.8,14.9,0.8,3.9,1.2,3.9,96.1
59,"Hardee, Florida",12049,41395,6.6,73.6,5.8,1.2,10.6,0.2,44.3,55.7
60,"Putnam, Florida",12107,39975,9,76.4,16,0.6,4.4,0.4,10.3,89.7
61,"DeSoto, Florida",12027,39945,9.4,78.5,12.5,0.1,13.3,0.2,31.9,68.1
62,"Madison, Florida",12079,39503,3.9,56.7,36.8,0.7,4.6,0.1,6.2,93.8
63,"Hamilton, Florida",12047,39346,11.3,59.7,34.3,0.6,4.3,0.8,10.2,89.8
64,"Hendry, Florida",12051,38843,6.1,67.7,10.8,1,26.4,1.9,55.1,44.9
65,"Calhoun, Florida",12013,38098,3.4,77.7,12.1,0.5,3.4,1.2,6,94
66,"Glades, Florida",12043,38088,9.1,74.4,14,0.6,9.9,4,21.7,78.3
67,undefined,,,,,,,,,,