Demographics, New York Counties, Poverty, Foreign Born (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Queens, New York","36081","47.0"
"Kings, New York","36047","35.3"
"Bronx, New York","36005","34.2"
"New York, New York","36061","27.9"
"Westchester, New York","36119","25.3"
"Richmond, New York","36085","24.2"
"Nassau, New York","36059","22.4"
"Rockland, New York","36087","21.0"
"Suffolk, New York","36103","15.5"
"Putnam, New York","36079","13.9"
"Tompkins, New York","36109","12.3"
"Orange, New York","36071","11.7"
"Albany, New York","36001","11.3"
"Dutchess, New York","36027","11.2"
"Schenectady, New York","36093","10.2"
"Sullivan, New York","36105","9.8"
"Monroe, New York","36055","8.5"
"Oneida, New York","36065","8.4"
"Onondaga, New York","36067","7.8"
"Ulster, New York","36111","7.3"
"Erie, New York","36029","7.2"
"Broome, New York","36007","7.2"
"Columbia, New York","36021","6.7"
"Saratoga, New York","36091","5.7"
"Greene, New York","36039","5.7"
"Rensselaer, New York","36083","5.4"
"Jefferson, New York","36045","4.5"
"Clinton, New York","36019","4.4"
"Delaware, New York","36025","4.3"
"Franklin, New York","36033","4.0"
"Essex, New York","36031","3.9"
"Ontario, New York","36069","3.8"
"Livingston, New York","36051","3.7"
"Otsego, New York","36077","3.7"
"Steuben, New York","36101","3.6"
"Warren, New York","36113","3.6"
"Niagara, New York","36063","3.6"
"St. Lawrence, New York","36089","3.6"
"Schoharie, New York","36095","3.3"
"Montgomery, New York","36057","3.2"
"Chemung, New York","36015","3.0"
"Herkimer, New York","36043","2.9"
"Orleans, New York","36073","2.8"
"Wayne, New York","36117","2.7"
"Cortland, New York","36023","2.6"
"Washington, New York","36115","2.6"
"Madison, New York","36053","2.5"
"Chautauqua, New York","36013","2.4"
"Genesee, New York","36037","2.4"
"Seneca, New York","36099","2.3"
"Wyoming, New York","36121","2.2"
"Cayuga, New York","36011","2.1"
"Oswego, New York","36075","2.0"
"Chenango, New York","36017","1.9"
"Tioga, New York","36107","1.9"
"Allegany, New York","36003","1.7"
"Schuyler, New York","36097","1.7"
"Yates, New York","36123","1.7"
"Fulton, New York","36035","1.6"
"Cattaraugus, New York","36009","1.5"
"Lewis, New York","36049","1.2"
"Hamilton, New York","36041","0.7"

"undefined"