Demographics, New York Counties, Uninsured, Unemployed (Both Sexes - Ages 16+ - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Bronx, New York","36005","11.2"
"Sullivan, New York","36105","8.0"
"Broome, New York","36007","7.5"
"Oswego, New York","36075","7.1"
"Kings, New York","36047","7.1"
"Chenango, New York","36017","7.0"
"Queens, New York","36081","7.0"
"Schenectady, New York","36093","6.9"
"Allegany, New York","36003","6.7"
"New York, New York","36061","6.6"
"Franklin, New York","36033","6.6"
"Orleans, New York","36073","6.4"
"Montgomery, New York","36057","6.4"
"Steuben, New York","36101","6.3"
"St. Lawrence, New York","36089","6.3"
"Chemung, New York","36015","6.1"
"Westchester, New York","36119","6.1"
"Cattaraugus, New York","36009","6.0"
"Rockland, New York","36087","6.0"
"Jefferson, New York","36045","6.0"
"Onondaga, New York","36067","5.9"
"Columbia, New York","36021","5.9"
"Cortland, New York","36023","5.9"
"Tioga, New York","36107","5.9"
"Niagara, New York","36063","5.8"
"Schoharie, New York","36095","5.8"
"Washington, New York","36115","5.7"
"Otsego, New York","36077","5.7"
"Schuyler, New York","36097","5.7"
"Richmond, New York","36085","5.5"
"Herkimer, New York","36043","5.4"
"Essex, New York","36031","5.4"
"Chautauqua, New York","36013","5.4"
"Orange, New York","36071","5.4"
"Rensselaer, New York","36083","5.4"
"Monroe, New York","36055","5.3"
"Dutchess, New York","36027","5.2"
"Erie, New York","36029","5.1"
"Fulton, New York","36035","5.1"
"Ulster, New York","36111","5.1"
"Lewis, New York","36049","5.0"
"Genesee, New York","36037","4.9"
"Albany, New York","36001","4.9"
"Livingston, New York","36051","4.8"
"Suffolk, New York","36103","4.8"
"Putnam, New York","36079","4.8"
"Delaware, New York","36025","4.7"
"Oneida, New York","36065","4.7"
"Tompkins, New York","36109","4.7"
"Cayuga, New York","36011","4.5"
"Nassau, New York","36059","4.5"
"Clinton, New York","36019","4.3"
"Madison, New York","36053","4.2"
"Warren, New York","36113","4.2"
"Wyoming, New York","36121","4.1"
"Wayne, New York","36117","4.1"
"Ontario, New York","36069","4.0"
"Seneca, New York","36099","3.7"
"Greene, New York","36039","3.7"
"Saratoga, New York","36091","3.6"
"Yates, New York","36123","3.2"
"Hamilton, New York","36041","2.7"

"undefined"