,Demographics,New York Counties_x,Income,Uninsured,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
1,"Nassau, New York",36059,126576,4.5,64.6,11.5,10.5,22.4,0.3,17.2,82.8
2,"Suffolk, New York",36103,111660,4.8,76.3,7.5,4.1,15.5,0.3,19.9,80.1
3,"Putnam, New York",36079,111617,4.8,83.2,3.5,2.1,13.9,0.2,16.2,83.8
4,"Westchester, New York",36119,105387,6.1,59.9,14.6,6.1,25.3,0.4,25.2,74.8
5,"Rockland, New York",36087,99707,6,69.4,11.5,6,21,0.2,18.1,81.9
6,"New York, New York",36061,93956,6.6,53.6,14,12,27.9,0.4,25.6,74.4
7,"Saratoga, New York",36091,90800,3.6,91.3,1.7,2.8,5.7,0.1,3.4,96.6
8,"Richmond, New York",36085,89427,5.5,69.4,10.1,10.4,24.2,0.3,18.4,81.6
9,"Dutchess, New York",36027,87112,5.2,75.3,10.6,3.5,11.2,0.3,12.9,87.1
10,"Orange, New York",36071,85640,5.4,70.7,11,2.8,11.7,0.5,21.4,78.6
11,"Rensselaer, New York",36083,76731,5.4,84,6.5,2.9,5.4,0.1,5.2,94.8
12,"Queens, New York",36081,75886,7,33.6,17.8,25.8,47,0.6,27.9,72.1
13,"Albany, New York",36001,73810,4.9,73.7,12.1,7,11.3,0.1,6.3,93.7
14,"Columbia, New York",36021,73065,5.9,87,4.1,2,6.7,0.1,5.1,94.9
15,"Ulster, New York",36111,71040,5.1,80.1,6,1.8,7.3,0.2,10.7,89.3
16,"Ontario, New York",36069,70694,4,91.3,2.3,1.4,3.8,0.1,5,95
17,"Schenectady, New York",36093,69891,6.9,74,9.8,4.8,10.2,0.4,7.4,92.6
18,"Warren, New York",36113,68765,4.2,94.4,1.4,0.8,3.6,0.1,2.8,97.2
19,"Kings, New York",36047,67753,7.1,42.1,30.5,11.9,35.3,0.4,18.8,81.2
20,"Monroe, New York",36055,66317,5.3,73.9,14.8,3.8,8.5,0.2,9.2,90.8
21,"Onondaga, New York",36067,66012,5.9,78,10.9,3.9,7.8,0.4,5.2,94.8
22,"Tioga, New York",36107,64987,5.9,95.4,0.9,0.9,1.9,0.2,2.1,97.9
23,"Livingston, New York",36051,64467,4.8,91.2,2.8,1.1,3.7,0.1,3.9,96.1
24,"Tompkins, New York",36109,64260,4.7,79.2,4,9.4,12.3,0.1,5.3,94.7
25,"Schoharie, New York",36095,64220,5.8,92.5,1.7,1,3.3,0.1,3.5,96.5
26,"Wayne, New York",36117,64152,4.1,90.7,2.2,0.8,2.7,0.1,4.6,95.4
27,"Washington, New York",36115,63869,5.7,92.2,3,0.7,2.6,0.2,2.9,97.1
28,"Genesee, New York",36037,63734,4.9,91.2,2.2,0.7,2.4,0.5,3.5,96.5
29,"Sullivan, New York",36105,63393,8,76.8,8.4,1.8,9.8,0.5,16.6,83.4
30,"Madison, New York",36053,63312,4.2,92.9,1.5,1.1,2.5,0.4,2.4,97.6
31,"Hamilton, New York",36041,62841,2.7,93.2,1,0.4,0.7,0.2,1.9,98.1
32,"Greene, New York",36039,62810,3.7,87.4,5.6,1,5.7,0.3,6.4,93.6
33,"Erie, New York",36029,62578,5.1,76.5,12.8,4,7.2,0.4,5.8,94.2
34,"Clinton, New York",36019,62470,4.3,90.4,4,1.4,4.4,0.3,3,97
35,"Cortland, New York",36023,62163,5.9,93,2,1.1,2.6,0.1,2.9,97.1
36,"Oswego, New York",36075,61983,7.1,94,1.1,0.7,2,0.1,2.7,97.3
37,"Oneida, New York",36065,61733,4.7,83.8,6.1,4.1,8.4,0.2,6.2,93.8
38,"Essex, New York",36031,61563,5.4,92.3,3.2,0.3,3.9,0.2,3.2,96.8
39,"Niagara, New York",36063,60834,5.8,86.2,6.8,1.1,3.6,0.8,3.4,96.6
40,"Herkimer, New York",36043,60561,5.4,94.4,1.2,0.6,2.9,0.2,2.4,97.6
41,"Otsego, New York",36077,60523,5.7,92.2,2,1.5,3.7,0.2,3.9,96.1
42,"Lewis, New York",36049,60049,5,95.2,1.6,0.4,1.2,0.2,1.7,98.3
43,"Wyoming, New York",36121,60013,4.1,90.2,4.2,0.7,2.2,0.2,3.4,96.6
44,"Cayuga, New York",36011,59602,4.5,90.1,4,0.7,2.1,0.2,3.1,96.9
45,"Seneca, New York",36099,59086,3.7,89.7,5.2,0.7,2.3,0.3,3.7,96.3
46,"Steuben, New York",36101,58652,6.3,93.8,1.6,1.5,3.6,0.1,1.7,98.3
47,"Jefferson, New York",36045,58271,6,84.8,5.9,1.8,4.5,0.3,7.7,92.3
48,"Chemung, New York",36015,58175,6.1,86.9,6,1.5,3,0.3,3.4,96.6
49,"Yates, New York",36123,57635,3.2,96.2,0.8,0.9,1.7,0.1,2.2,97.8
50,"Schuyler, New York",36097,56437,5.7,95.3,0.9,0.7,1.7,0.1,1.8,98.2
51,"Chenango, New York",36017,55690,7,95.5,0.7,0.6,1.9,0.1,2.3,97.7
52,"Franklin, New York",36033,55279,6.6,81.9,5.1,0.6,4,6.7,3.6,96.4
53,"Fulton, New York",36035,55240,5.1,92.2,1.5,0.8,1.6,0.1,3.5,96.5
54,"Orleans, New York",36073,54882,6.4,87.8,5.7,0.8,2.8,0.3,5.1,94.9
55,"Allegany, New York",36003,54375,6.7,95,1.9,0.6,1.7,0.2,1.7,98.3
56,"St. Lawrence, New York",36089,54351,6.3,92.3,2.7,1.1,3.6,0.4,2.4,97.6
57,"Broome, New York",36007,53982,7.5,84.2,5.3,4.6,7.2,0.1,4.5,95.5
58,"Cattaraugus, New York",36009,53537,6,91,1.4,0.7,1.5,2.8,2.2,97.8
59,"Montgomery, New York",36057,53533,6.4,85,2.9,0.8,3.2,0.2,14.9,85.1
60,"Delaware, New York",36025,52757,4.7,93.4,1.8,0.9,4.3,0.1,4.1,95.9
61,"Chautauqua, New York",36013,50408,5.4,89.8,2.8,0.7,2.4,0.3,7.8,92.2
62,"Bronx, New York",36005,43726,11.2,19.9,34.5,4,34.2,0.8,56.1,43.9
63,undefined,,,,,,,,,,