Demographics, Vermont Counties, Poverty, Hispanic (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Windham, Vermont","50025","2.5"
"Chittenden, Vermont","50007","2.5"
"Addison, Vermont","50001","2.5"
"Bennington, Vermont","50003","2.3"
"Lamoille, Vermont","50015","2.0"
"Grand Isle, Vermont","50013","2.0"
"Washington, Vermont","50023","2.0"
"Windsor, Vermont","50027","1.9"
"Caledonia, Vermont","50005","1.9"
"Franklin, Vermont","50011","1.7"
"Rutland, Vermont","50021","1.6"
"Orleans, Vermont","50019","1.6"
"Essex, Vermont","50009","1.5"
"Orange, Vermont","50017","1.4"

"undefined"