Demographics, Wyoming Counties, Income, Median Household Income (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Dollars
"Teton, Wyoming","56039","94498"
"Campbell, Wyoming","56005","87547"
"Sublette, Wyoming","56035","82342"
"Sweetwater, Wyoming","56037","76668"
"Uinta, Wyoming","56041","75106"
"Lincoln, Wyoming","56023","74835"
"Converse, Wyoming","56009","73698"
"Laramie, Wyoming","56021","71550"
"Crook, Wyoming","56011","67835"
"Weston, Wyoming","56045","65566"
"Natrona, Wyoming","56025","64100"
"Carbon, Wyoming","56007","62654"
"Park, Wyoming","56029","62586"
"Sheridan, Wyoming","56033","62531"
"Washakie, Wyoming","56043","62271"
"Hot Springs, Wyoming","56017","60805"
"Platte, Wyoming","56031","59402"
"Goshen, Wyoming","56015","58318"
"Johnson, Wyoming","56019","58020"
"Fremont, Wyoming","56013","57887"
"Big Horn, Wyoming","56003","56059"
"Albany, Wyoming","56001","50733"
"Niobrara, Wyoming","56027","48688"

"undefined"