Demographics, Wyoming Counties, Poverty, Foreign Born (Both Sexes - 2017 to 2021), 2017 - 2021
Area,County FIPS,Percent
"Teton, Wyoming","56039","11.1"
"Albany, Wyoming","56001","6.8"
"Sweetwater, Wyoming","56037","5.5"
"Carbon, Wyoming","56007","5.3"
"Sublette, Wyoming","56035","5.1"
"Laramie, Wyoming","56021","3.2"
"Converse, Wyoming","56009","2.9"
"Campbell, Wyoming","56005","2.9"
"Big Horn, Wyoming","56003","2.9"
"Uinta, Wyoming","56041","2.9"
"Lincoln, Wyoming","56023","2.7"
"Park, Wyoming","56029","2.5"
"Sheridan, Wyoming","56033","2.2"
"Crook, Wyoming","56011","2.2"
"Goshen, Wyoming","56015","2.0"
"Platte, Wyoming","56031","2.0"
"Natrona, Wyoming","56025","2.0"
"Fremont, Wyoming","56013","1.6"
"Weston, Wyoming","56045","1.6"
"Johnson, Wyoming","56019","1.5"
"Washakie, Wyoming","56043","1.0"
"Hot Springs, Wyoming","56017","0.4"
"Niobrara, Wyoming","56027","no data/suppressed"

"undefined"